name,email,phone,longitude,latitude,closest_town,ISO_code,plant_name,plant_scientific_name,plant_image_url,temperature,soil_moisture,recording_taken,last_watered
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-19.32556,-41.25528,Resplendor,BR,Epipremnum Aureum,Epipremnum aureum,https://perenual.com/storage/species_image/2773_epipremnum_aureum/og/2560px-Epipremnum_aureum_31082012.jpg,13.212333400859372,73.62631334559535,2024-11-25 21:37:08,"Mon, 25 Nov 2024 14:03:04 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,33.95015,-118.03917,South Whittier,US,Venus flytrap,None,None,12.053462792048196,72.68019145767717,2024-11-25 21:37:08,"Mon, 25 Nov 2024 13:54:32 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,7.65649,4.92235,Efon-Alaaye,NG,Corpse flower,None,None,9.188339625139601,75.63670516651501,2024-11-25 21:37:09,"Mon, 25 Nov 2024 14:10:54 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-19.32556,-41.25528,Resplendor,BR,Rafflesia arnoldii,None,None,10.043325343966286,76.54690561095101,2024-11-25 21:37:10,"Mon, 25 Nov 2024 14:50:16 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,13.70167,-89.10944,Ilopango,SV,Black bat flower,None,None,11.355244826567462,70.1323804582505,2024-11-25 21:37:11,"Mon, 25 Nov 2024 13:16:25 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,22.88783,84.13864,Jashpurnagar,IN,Pitcher plant,Sarracenia catesbaei,https://perenual.com/storage/image/upgrade_access.jpg,11.227608239008308,77.24265495837275,2024-11-25 21:37:12,"Mon, 25 Nov 2024 14:56:18 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,43.86682,-79.2663,Markham,CA,Wollemi pine,Wollemia nobilis,https://perenual.com/storage/image/upgrade_access.jpg,10.994518815019322,73.21762497312326,2024-11-25 21:37:13,"Mon, 25 Nov 2024 13:35:35 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,5.27247,-3.59625,Bonoua,CI,Bird of paradise,Heliconia schiedeana 'Fire and Ice',https://perenual.com/storage/image/upgrade_access.jpg,11.579086433444992,70.52300446222664,2024-11-25 21:37:14,"Mon, 25 Nov 2024 13:23:01 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,50.9803,11.32903,Weimar,DE,Cactus,Pereskia grandifolia,https://perenual.com/storage/image/upgrade_access.jpg,10.626411121633902,74.22909079130434,2024-11-25 21:37:15,"Mon, 25 Nov 2024 14:12:43 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,43.50891,16.43915,Split,HR,"Dragon tree,",None,None,13.9735057426664,70.35628199421407,2024-11-25 21:37:17,"Mon, 25 Nov 2024 13:04:57 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,20.88953,-156.47432,Kahului,US,Asclepias Curassavica,Asclepias curassavica,https://perenual.com/storage/species_image/1007_asclepias_curassavica/og/51757177616_7ca0baaa87_b.jpg,9.50115896669837,73.0382785,2024-11-25 21:37:19,"Mon, 25 Nov 2024 13:37:24 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,32.5007,-94.74049,Longview,US,Brugmansia X Candida,None,None,12.864422282347817,70.32522616208252,2024-11-25 21:37:19,"Mon, 25 Nov 2024 13:13:51 GMT"
