name,email,phone,longitude,latitude,closest_town,ISO_code,plant_name,plant_scientific_name,plant_image_url,temperature,soil_moisture,recording_taken,last_watered
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-19.32556,-41.25528,Resplendor,BR,Epipremnum Aureum,Epipremnum aureum,https://perenual.com/storage/species_image/2773_epipremnum_aureum/og/2560px-Epipremnum_aureum_31082012.jpg,13.137495378787301,33.443765917715396,2024-11-26 09:08:56,"Mon, 25 Nov 2024 14:03:04 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,33.95015,-118.03917,South Whittier,US,Venus flytrap,None,None,12.016150594980044,31.82601593897637,2024-11-26 09:08:56,"Mon, 25 Nov 2024 13:54:32 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,7.65649,4.92235,Efon-Alaaye,NG,Corpse flower,None,None,9.089117254646021,37.867236420382156,2024-11-26 09:08:57,"Mon, 25 Nov 2024 14:10:54 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-19.32556,-41.25528,Resplendor,BR,Rafflesia arnoldii,None,None,9.965860255236516,36.67335441018252,2024-11-26 09:08:59,"Mon, 25 Nov 2024 14:50:16 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,13.70167,-89.10944,Ilopango,SV,Black bat flower,None,None,11.309024084361695,28.872390567594437,2024-11-26 09:08:59,"Mon, 25 Nov 2024 13:16:25 GMT"
Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,22.88783,84.13864,Jashpurnagar,IN,Pitcher plant,Sarracenia catesbaei,https://perenual.com/storage/image/upgrade_access.jpg,11.160227361605106,37.97318716083255,2024-11-26 09:09:00,"Mon, 25 Nov 2024 14:56:18 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,43.86682,-79.2663,Markham,CA,Wollemi pine,Wollemia nobilis,https://perenual.com/storage/image/upgrade_access.jpg,10.947298024200192,34.747978454124194,2024-11-26 09:09:01,"Mon, 25 Nov 2024 13:35:35 GMT"
Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,5.27247,-3.59625,Bonoua,CI,Bird of paradise,Heliconia schiedeana 'Fire and Ice',https://perenual.com/storage/image/upgrade_access.jpg,11.48924752596379,29.262607379721672,2024-11-26 09:09:02,"Mon, 25 Nov 2024 13:23:01 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,50.9803,11.32903,Weimar,DE,Cactus,Pereskia grandifolia,https://perenual.com/storage/image/upgrade_access.jpg,10.579324860185588,34.12529503961353,2024-11-26 09:09:03,"Mon, 25 Nov 2024 14:12:43 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,43.50891,16.43915,Split,HR,"Dragon tree,",None,None,13.933585198982037,30.329897298939258,2024-11-26 09:09:04,"Mon, 25 Nov 2024 13:04:57 GMT"
Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,20.88953,-156.47432,Kahului,US,Asclepias Curassavica,Asclepias curassavica,https://perenual.com/storage/species_image/1007_asclepias_curassavica/og/51757177616_7ca0baaa87_b.jpg,9.437851406774005,34.173744528089884,2024-11-26 09:09:06,"Mon, 25 Nov 2024 13:37:24 GMT"
